AGENT;ID;AGE;SEXE;AGE4T;PROF;RS4;HABITAT;Revenu;CP;POI  DS;PROF;RS4;probinf;probsup
AG1088;26661;24;Femme;<30 ans;Cadre, profession intellectuelle superieure, profession liberale;Non;Maison;8;2200;0,909807;3;0;0.5;0.5
AG1089;26661;24;Femme;<30 ans;Cadre, profession intellectuelle superieure, profession liberale;Non;Maison;8;2200;0,909807;3;0;0.5;0.5
AG1470;36924;28;Femme;<30 ans;Cadre, profession intellectuelle superieure, profession liberale;Non;Maison;6;69140;0,925912;3;0;0.5;0.5
AG1471;36924;28;Femme;<30 ans;Cadre, profession intellectuelle superieure, profession liberale;Non;Maison;6;69140;0,925912;3;0;0.5;0.5
AG2024;54128;28;Femme;<30 ans;Cadre, profession intellectuelle superieure, profession liberale;Non;Maison;5;35560;1,127692;3;0;0.5;0.5
AG2288;62161;29;Femme;<30 ans;Cadre, profession intellectuelle superieure, profession liberale;Non;Maison;7;75001;1,03546;3;0;0.5;0.5
AG2502;62380;29;Femme;<30 ans;Cadre, profession intellectuelle superieure, profession liberale;Non;Maison;5;6600;0,937071;3;0;0.5;0.5
AG2503;62380;29;Femme;<30 ans;Cadre, profession intellectuelle superieure, profession liberale;Non;Maison;5;6600;0,937071;3;0;0.5;0.5
AG2475;62355;26;Femme;<30 ans;Cadre, profession intellectuelle superieure, profession liberale;Oui;Appartement;9;13300;0,920772;3;0;0.51;0.95
AG1999;53338;26;Femme;<30 ans;Cadre, profession intellectuelle superieure, profession liberale;Oui;Maison;6;51100;0,925912;3;0;0.5;0.5
AG2354;62218;28;Femme;<30 ans;Cadre, profession intellectuelle superieure, profession liberale;Oui;Maison;5;35560;1,127692;3;0;0.5;0.5
AG1654;41963;29;Femme;<30 ans;Commer̤ant, artisan, chef d'entreprise, travailleur independant;Non;Appartement;5;86000;0,95787;2;0;0.5;0.5
AG1655;41963;29;Femme;<30 ans;Commer̤ant, artisan, chef d'entreprise, travailleur independant;Non;Appartement;5;86000;0,95787;2;0;0.5;0.5
AG2285;62158;29;Femme;<30 ans;Commer̤ant, artisan, chef d'entreprise, travailleur independant;Non;Appartement;8;33400;0,95787;2;0;0.5;0.5
AG2416;62294;26;Femme;<30 ans;Commer̤ant, artisan, chef d'entreprise, travailleur independant;Non;Appartement;4;92000;1,03546;2;0;0.5;0.5
AG2448;62329;20;Femme;<30 ans;Commer̤ant, artisan, chef d'entreprise, travailleur independant;Non;Appartement;2;75016;1,03546;2;0;0.5;0.5
AG2451;62333;19;Femme;<30 ans;Commer̤ant, artisan, chef d'entreprise, travailleur independant;Non;Appartement;4;49000;0,95787;2;0;0.5;0.5
AG1179;28864;29;Femme;<30 ans;Commer̤ant, artisan, chef d'entreprise, travailleur independant;Non;Maison;1;33210;1,127692;2;0;0.5;0.5
AG2488;62368;23;Femme;<30 ans;Commer̤ant, artisan, chef d'entreprise, travailleur independant;Non;Maison;6;93150;1,03546;2;0;0.5;0.5
AG2242;62116;29;Femme;<30 ans;Commer̤ant, artisan, chef d'entreprise, travailleur independant;Oui;Appartement;3;91100;1,03546;2;0;0.5;0.5
AG2275;62150;23;Femme;<30 ans;Commer̤ant, artisan, chef d'entreprise, travailleur independant;Oui;Appartement;1;30000;0,937071;2;0;0.5;0.5
AG2452;62333;19;Femme;<30 ans;Commer̤ant, artisan, chef d'entreprise, travailleur independant;Oui;Appartement;4;49000;0,95787;2;0;0.5;0.5
AG2320;62190;29;Femme;<30 ans;Commer̤ant, artisan, chef d'entreprise, travailleur independant;Oui;Maison;4;59283;0,925912;2;0;0.5;0.5
AG2421;62298;22;Femme;<30 ans;Commer̤ant, artisan, chef d'entreprise, travailleur independant;Oui;Maison;8;30900;0,937071;2;0;0.5;0.5
AG520;11577;27;Femme;<30 ans;Eleve, etudiant;Non;Appartement;9;92200;1,32845;7;2;0.5;0.84
AG2368;62230;29;Femme;<30 ans;Eleve, etudiant;Non;Appartement;1;33400;1,228906;7;0;0.5;0.84
AG2385;62249;22;Femme;<30 ans;Eleve, etudiant;Non;Appartement;4;91330;1,32845;7;0;0.5;0.84
AG2437;62318;21;Femme;<30 ans;Eleve, etudiant;Non;Appartement;1;80000;1,187905;7;0;0.5;0.84
AG2461;62343;19;Femme;<30 ans;Eleve, etudiant;Non;Appartement;6;6000;1,202222;7;0;0.5;0.84
AG2462;62344;20;Femme;<30 ans;Eleve, etudiant;Non;Appartement;5;92700;1,32845;7;0;0.5;0.84
AG2473;62354;24;Femme;<30 ans;Eleve, etudiant;Non;Appartement;9;31200;1,228906;7;0;0.5;0.84
AG2477;62357;22;Femme;<30 ans;Eleve, etudiant;Non;Appartement;1;13100;1,202222;7;0;0.5;0.84
AG2493;62371;18;Femme;<30 ans;Eleve, etudiant;Non;Appartement;1;80000;1,187905;7;0;0.5;0.84
AG2494;62371;18;Femme;<30 ans;Eleve, etudiant;Non;Appartement;1;80000;1,187905;7;0;0.5;0.84
