AGENT;ID;AGE;SEXE;AGE4T;PROF;RS4;HABITAT;Revenu;CP;POI  DS;PROF;RS4;probinf;probsup
AG501;11122;72;Femme;>= 60 ans;Employe, personnel de service;Non;Maison;5;38300;0,804441;5;2;0.2;0.8
AG949;22887;61;Femme;>= 60 ans;Employe, personnel de service;Non;Maison;5;76610;0,683298;5;0;0.2;0.8
AG950;22887;61;Femme;>= 60 ans;Employe, personnel de service;Non;Maison;5;76610;0,683298;5;0;0.2;0.8
AG1074;26301;62;Femme;>= 60 ans;Employe, personnel de service;Non;Maison;6;6530;0,707091;5;0;0.2;0.8
AG1075;26301;62;Femme;>= 60 ans;Employe, personnel de service;Non;Maison;6;6530;0,707091;5;0;0.2;0.8
AG1172;28716;68;Femme;>= 60 ans;Employe, personnel de service;Non;Maison;4;38550;0,698671;5;0;0.2;0.8
AG1181;29154;61;Femme;>= 60 ans;Employe, personnel de service;Non;Maison;5;84120;0,694587;5;0;0.2;0.8
AG1453;36284;60;Femme;>= 60 ans;Employe, personnel de service;Non;Maison;7;12340;0,832206;5;0;0.2;0.8
AG1681;42794;60;Femme;>= 60 ans;Employe, personnel de service;Non;Maison;5;67370;0,804441;5;0;0.2;0.8
AG1685;42827;61;Femme;>= 60 ans;Employe, personnel de service;Non;Maison;6;44490;0,706882;5;0;0.2;0.8
AG1725;43663;60;Femme;>= 60 ans;Employe, personnel de service;Non;Maison;3;49250;0,722785;5;0;0.2;0.8
AG588;13398;61;Femme;>= 60 ans;Profession intermediaire, contremątre;Non;Appartement;4;92600;0,787579;4;0;0.5;0.5
AG827;20447;62;Femme;>= 60 ans;Profession intermediaire, contremątre;Non;Appartement;5;94270;0,787579;4;0;0.5;0.5
AG828;20447;62;Femme;>= 60 ans;Profession intermediaire, contremątre;Non;Appartement;5;94270;0,787579;4;0;0.5;0.5
AG1002;24132;70;Femme;>= 60 ans;Profession intermediaire, contremątre;Non;Appartement;6;94400;0,787579;4;0;0.5;0.5
AG1003;24132;70;Femme;>= 60 ans;Profession intermediaire, contremątre;Non;Appartement;6;94400;0,787579;4;0;0.5;0.5
AG330;7731;66;Femme;>= 60 ans;Profession intermediaire, contremątre;Non;Maison;7;60220;0,829114;4;2;0.5;0.5
AG331;7731;66;Femme;>= 60 ans;Profession intermediaire, contremątre;Non;Maison;7;60220;0,829114;4;1;0.5;0.5
AG2105;56837;66;Femme;>= 60 ans;Profession intermediaire, contremątre;Oui;Maison;5;85430;0,857731;4;0;0.5;0.5
AG10;256;80;Femme;>= 60 ans;Retraite;Non;Appartement;4;31150;0,934715;8;2;0.2;0.96
AG11;256;80;Femme;>= 60 ans;Retraite;Non;Appartement;4;31150;0,934715;8;2;0.2;0.96
AG29;490;68;Femme;>= 60 ans;Retraite;Non;Appartement;6;6400;0,914419;8;2;0.2;0.96
AG106;2586;74;Femme;>= 60 ans;Retraite;Non;Appartement;5;6100;0,914419;8;2;0.2;0.96
AG197;4480;62;Femme;>= 60 ans;Retraite;Non;Appartement;4;6700;0,914419;8;2;0.2;0.96
AG225;5247;65;Femme;>= 60 ans;Retraite;Non;Appartement;5;62100;0,887814;8;2;0.2;0.96
AG266;6197;70;Femme;>= 60 ans;Retraite;Non;Appartement;4;30620;0,914419;8;2;0.2;0.96
AG301;6934;69;Femme;>= 60 ans;Retraite;Non;Appartement;2;31400;0,934715;8;2;0.2;0.96
AG302;6934;69;Femme;>= 60 ans;Retraite;Non;Appartement;2;31400;0,934715;8;2;0.2;0.96
AG396;9260;81;Femme;>= 60 ans;Retraite;Non;Appartement;1;83400;0,914419;8;2;0.2;0.96
AG404;9417;63;Femme;>= 60 ans;Retraite;Non;Appartement;4;71100;0,887814;8;2;0.2;0.96
AG405;9417;63;Femme;>= 60 ans;Retraite;Non;Appartement;4;71100;0,887814;8;2;0.2;0.96
AG442;10052;66;Femme;>= 60 ans;Retraite;Non;Appartement;4;76200;0,887814;8;2;0.2;0.96
AG572;12996;73;Femme;>= 60 ans;Retraite;Non;Appartement;9;77100;0,887814;8;0;0.2;0.96
AG573;12996;73;Femme;>= 60 ans;Retraite;Non;Appartement;9;77100;0,887814;8;0;0.2;0.96
AG583;13202;74;Femme;>= 60 ans;Retraite;Non;Appartement;4;59650;0,903529;8;0;0.2;0.96
AG584;13202;74;Femme;>= 60 ans;Retraite;Non;Appartement;4;59650;0,903529;8;0;0.2;0.96
AG659;15786;64;Femme;>= 60 ans;Retraite;Non;Appartement;4;42300;0,887814;8;0;0.2;0.96
AG660;15788;72;Femme;>= 60 ans;Retraite;Non;Appartement;6;75011;1,01043;8;0;0.2;0.96
AG661;15788;72;Femme;>= 60 ans;Retraite;Non;Appartement;6;75011;1,01043;8;0;0.2;0.96
AG662;15788;72;Femme;>= 60 ans;Retraite;Non;Appartement;6;75011;1,01043;8;0;0.2;0.96
AG695;17006;68;Femme;>= 60 ans;Retraite;Non;Appartement;3;27500;0,887814;8;0;0.2;0.96
AG779;19766;63;Femme;>= 60 ans;Retraite;Non;Appartement;4;95370;1,01043;8;0;0.2;0.96
AG795;20041;74;Femme;>= 60 ans;Retraite;Non;Appartement;5;34000;0,914419;8;0;0.2;0.96
AG825;20417;79;Femme;>= 60 ans;Retraite;Non;Appartement;6;78350;1,01043;8;0;0.2;0.96
AG854;20774;65;Femme;>= 60 ans;Retraite;Non;Appartement;9;83000;0,914419;8;0;0.2;0.96
AG855;20774;65;Femme;>= 60 ans;Retraite;Non;Appartement;9;83000;0,914419;8;0;0.2;0.96
AG861;20909;74;Femme;>= 60 ans;Retraite;Non;Appartement;3;77400;1,01043;8;0;0.2;0.96
AG875;21359;69;Femme;>= 60 ans;Retraite;Non;Appartement;4;92700;1,01043;8;0;0.2;0.96
AG900;22002;67;Femme;>= 60 ans;Retraite;Non;Appartement;4;69800;0,903529;8;0;0.2;0.96
AG901;22002;67;Femme;>= 60 ans;Retraite;Non;Appartement;4;69800;0,903529;8;0;0.2;0.96
AG937;22770;66;Femme;>= 60 ans;Retraite;Non;Appartement;7;95600;1,01043;8;0;0.2;0.96
AG947;22874;69;Femme;>= 60 ans;Retraite;Non;Appartement;4;74410;0,903529;8;0;0.2;0.96
AG995;23933;72;Femme;>= 60 ans;Retraite;Non;Appartement;5;38610;0,903529;8;0;0.2;0.96
AG1025;24892;73;Femme;>= 60 ans;Retraite;Non;Appartement;5;35400;0,918457;8;0;0.2;0.96
AG1054;25622;77;Femme;>= 60 ans;Retraite;Non;Appartement;3;75011;1,01043;8;0;0.2;0.96
AG1066;25945;66;Femme;>= 60 ans;Retraite;Non;Appartement;3;77176;1,01043;8;0;0.2;0.96
AG1067;25945;66;Femme;>= 60 ans;Retraite;Non;Appartement;3;77176;1,01043;8;0;0.2;0.96
AG1107;27306;67;Femme;>= 60 ans;Retraite;Non;Appartement;3;38100;0,903529;8;0;0.2;0.96
AG1108;27316;66;Femme;>= 60 ans;Retraite;Non;Appartement;5;94700;1,01043;8;0;0.2;0.96
AG1109;27316;66;Femme;>= 60 ans;Retraite;Non;Appartement;5;94700;1,01043;8;0;0.2;0.96
AG1110;27316;66;Femme;>= 60 ans;Retraite;Non;Appartement;5;94700;1,01043;8;0;0.2;0.96
AG1280;30940;76;Femme;>= 60 ans;Retraite;Non;Appartement;4;56700;0,955744;8;0;0.2;0.96
AG1281;30940;76;Femme;>= 60 ans;Retraite;Non;Appartement;4;56700;0,955744;8;0;0.2;0.96
AG1290;31125;70;Femme;>= 60 ans;Retraite;Non;Appartement;5;51120;0,923857;8;0;0.2;0.96
AG1291;31125;70;Femme;>= 60 ans;Retraite;Non;Appartement;5;51120;0,923857;8;0;0.2;0.96
AG1381;34209;75;Femme;>= 60 ans;Retraite;Non;Appartement;9;20000;0,898514;8;0;0.2;0.96
AG1382;34213;67;Femme;>= 60 ans;Retraite;Non;Appartement;9;50300;0,955744;8;0;0.2;0.96
AG1383;34213;67;Femme;>= 60 ans;Retraite;Non;Appartement;9;50300;0,955744;8;0;0.2;0.96
AG1405;34760;63;Femme;>= 60 ans;Retraite;Non;Appartement;4;51100;0,903529;8;0;0.2;0.96
AG1472;36975;67;Femme;>= 60 ans;Retraite;Non;Appartement;2;72000;0,934715;8;0;0.2;0.96
AG1493;37526;64;Femme;>= 60 ans;Retraite;Non;Appartement;4;85300;0,918457;8;0;0.2;0.96
AG1494;37526;64;Femme;>= 60 ans;Retraite;Non;Appartement;4;85300;0,918457;8;0;0.2;0.96
AG1495;37526;64;Femme;>= 60 ans;Retraite;Non;Appartement;4;85300;0,918457;8;0;0.2;0.96
AG1656;41997;65;Femme;>= 60 ans;Retraite;Non;Appartement;3;92150;1,01043;8;0;0.2;0.96
AG1657;41997;65;Femme;>= 60 ans;Retraite;Non;Appartement;3;92150;1,01043;8;0;0.2;0.96
AG1734;43842;69;Femme;>= 60 ans;Retraite;Non;Appartement;2;59600;0,903529;8;0;0.2;0.96
AG1740;44364;68;Femme;>= 60 ans;Retraite;Non;Appartement;6;34000;0,914419;8;0;0.2;0.96
AG1741;44364;68;Femme;>= 60 ans;Retraite;Non;Appartement;6;34000;0,914419;8;0;0.2;0.96
AG1749;44558;66;Femme;>= 60 ans;Retraite;Non;Appartement;3;21000;0,903529;8;0;0.2;0.96
AG1994;53202;69;Femme;>= 60 ans;Retraite;Non;Appartement;5;92400;1,01043;8;0;0.2;0.96
AG2017;53953;76;Femme;>= 60 ans;Retraite;Non;Appartement;4;59770;0,903529;8;0;0.2;0.96
AG2072;56149;66;Femme;>= 60 ans;Retraite;Non;Appartement;7;92360;1,01043;8;0;0.2;0.96
AG2075;56234;69;Femme;>= 60 ans;Retraite;Non;Appartement;5;39000;0,887814;8;0;0.2;0.96
AG2096;56707;67;Femme;>= 60 ans;Retraite;Non;Appartement;2;36000;0,918457;8;0;0.2;0.96
AG2203;61130;71;Femme;>= 60 ans;Retraite;Non;Appartement;4;13012;0,914419;8;0;0.2;0.96
AG32;504;73;Femme;>= 60 ans;Retraite;Non;Maison;7;93350;1,01043;8;2;0.2;0.96
AG40;774;71;Femme;>= 60 ans;Retraite;Non;Maison;3;49530;0,955744;8;2;0.2;0.96
AG71;1957;75;Femme;>= 60 ans;Retraite;Non;Maison;2;33100;0,934715;8;2;0.2;0.96
AG72;1957;75;Femme;>= 60 ans;Retraite;Non;Maison;2;33100;0,934715;8;2;0.2;0.96
AG77;2016;67;Femme;>= 60 ans;Retraite;Non;Maison;5;36220;1,100432;8;2;0.2;0.96
AG82;2145;68;Femme;>= 60 ans;Retraite;Non;Maison;9;85100;0,918457;8;2;0.2;0.96
AG83;2145;68;Femme;>= 60 ans;Retraite;Non;Maison;9;85100;0,918457;8;2;0.2;0.96
AG102;2552;66;Femme;>= 60 ans;Retraite;Non;Maison;3;11560;0,934992;8;1;0.2;0.96
AG103;2552;66;Femme;>= 60 ans;Retraite;Non;Maison;3;11560;0,934992;8;2;0.2;0.96
AG162;3931;78;Femme;>= 60 ans;Retraite;Non;Maison;7;63370;0,903529;8;1;0.2;0.96
AG163;3931;78;Femme;>= 60 ans;Retraite;Non;Maison;7;63370;0,903529;8;1;0.2;0.96
AG218;4984;66;Femme;>= 60 ans;Retraite;Non;Maison;6;11120;1,076538;8;2;0.2;0.96
AG219;4984;66;Femme;>= 60 ans;Retraite;Non;Maison;6;11120;1,076538;8;2;0.2;0.96
AG220;4984;66;Femme;>= 60 ans;Retraite;Non;Maison;6;11120;1,076538;8;1;0.2;0.96
AG221;4984;66;Femme;>= 60 ans;Retraite;Non;Maison;6;11120;1,076538;8;2;0.2;0.96
AG223;5023;66;Femme;>= 60 ans;Retraite;Non;Maison;7;49440;0,955744;8;2;0.2;0.96
AG248;5890;62;Femme;>= 60 ans;Retraite;Non;Maison;5;45240;0,923857;8;1;0.2;0.96
AG249;5890;62;Femme;>= 60 ans;Retraite;Non;Maison;5;45240;0,923857;8;2;0.2;0.96
AG264;6194;67;Femme;>= 60 ans;Retraite;Non;Maison;4;14630;0,923857;8;2;0.2;0.96
AG265;6194;67;Femme;>= 60 ans;Retraite;Non;Maison;4;14630;0,923857;8;2;0.2;0.96
AG307;7215;68;Femme;>= 60 ans;Retraite;Non;Maison;4;62660;0,903529;8;2;0.2;0.96
AG402;9412;71;Femme;>= 60 ans;Retraite;Non;Maison;3;85340;1,100432;8;2;0.2;0.96
AG403;9412;71;Femme;>= 60 ans;Retraite;Non;Maison;3;85340;1,100432;8;2;0.2;0.96
AG427;9846;65;Femme;>= 60 ans;Retraite;Non;Maison;2;17400;1,100432;8;2;0.2;0.96
AG445;10071;77;Femme;>= 60 ans;Retraite;Non;Maison;4;81600;0,955744;8;2;0.2;0.96
AG463;10384;72;Femme;>= 60 ans;Retraite;Non;Maison;5;63350;1,063717;8;2;0.2;0.96
AG495;10974;78;Femme;>= 60 ans;Retraite;Non;Maison;9;63390;1,063717;8;2;0.2;0.96
AG505;11256;72;Femme;>= 60 ans;Retraite;Non;Maison;7;69280;0,903529;8;2;0.2;0.96
AG506;11256;72;Femme;>= 60 ans;Retraite;Non;Maison;7;69280;0,903529;8;2;0.2;0.96
AG561;12765;64;Femme;>= 60 ans;Retraite;Non;Maison;4;69330;0,903529;8;1;0.2;0.96
AG566;12904;76;Femme;>= 60 ans;Retraite;Non;Maison;9;14400;0,923857;8;2;0.2;0.96
AG575;13054;69;Femme;>= 60 ans;Retraite;Non;Maison;6;35400;0,918457;8;0;0.2;0.96
AG585;13208;71;Femme;>= 60 ans;Retraite;Non;Maison;4;62240;0,923857;8;0;0.2;0.96
AG589;13411;67;Femme;>= 60 ans;Retraite;Non;Maison;7;78110;1,01043;8;0;0.2;0.96
AG590;13411;67;Femme;>= 60 ans;Retraite;Non;Maison;7;78110;1,01043;8;0;0.2;0.96
AG592;13461;69;Femme;>= 60 ans;Retraite;Non;Maison;7;60400;1,063717;8;0;0.2;0.96
AG607;13746;70;Femme;>= 60 ans;Retraite;Non;Maison;9;22580;0,955744;8;0;0.2;0.96
AG608;13746;70;Femme;>= 60 ans;Retraite;Non;Maison;9;22580;0,955744;8;0;0.2;0.96
AG611;13862;71;Femme;>= 60 ans;Retraite;Non;Maison;7;78711;1,01043;8;0;0.2;0.96
AG616;14002;74;Femme;>= 60 ans;Retraite;Non;Maison;5;44310;0,955744;8;0;0.2;0.96
AG626;14352;64;Femme;>= 60 ans;Retraite;Non;Maison;7;34410;0,934992;8;0;0.2;0.96
AG632;14418;76;Femme;>= 60 ans;Retraite;Non;Maison;5;94000;1,01043;8;0;0.2;0.96
AG648;15253;63;Femme;>= 60 ans;Retraite;Non;Maison;5;34600;0,934992;8;0;0.2;0.96
AG649;15290;70;Femme;>= 60 ans;Retraite;Non;Maison;5;13127;0,914419;8;0;0.2;0.96
AG650;15290;70;Femme;>= 60 ans;Retraite;Non;Maison;5;13127;0,914419;8;0;0.2;0.96
AG696;17092;62;Femme;>= 60 ans;Retraite;Non;Maison;9;31540;1,100432;8;0;0.2;0.96
AG712;17729;63;Femme;>= 60 ans;Retraite;Non;Maison;4;35520;0,934715;8;0;0.2;0.96
AG763;19216;76;Femme;>= 60 ans;Retraite;Non;Maison;5;60100;0,903529;8;0;0.2;0.96
AG768;19349;63;Femme;>= 60 ans;Retraite;Non;Maison;4;14480;1,063717;8;0;0.2;0.96
AG843;20678;68;Femme;>= 60 ans;Retraite;Non;Maison;5;49300;0,918457;8;0;0.2;0.96
AG860;20894;73;Femme;>= 60 ans;Retraite;Non;Maison;5;93470;1,01043;8;0;0.2;0.96
AG936;22762;74;Femme;>= 60 ans;Retraite;Non;Maison;6;22750;1,100432;8;0;0.2;0.96
AG939;22793;70;Femme;>= 60 ans;Retraite;Non;Maison;7;27120;1,063717;8;0;0.2;0.96
AG941;22796;65;Femme;>= 60 ans;Retraite;Non;Maison;9;53400;0,955744;8;0;0.2;0.96
AG942;22797;75;Femme;>= 60 ans;Retraite;Non;Maison;5;85670;1,100432;8;0;0.2;0.96
AG953;22920;73;Femme;>= 60 ans;Retraite;Non;Maison;7;34070;0,914419;8;0;0.2;0.96
AG954;22954;79;Femme;>= 60 ans;Retraite;Non;Maison;7;29120;0,918457;8;0;0.2;0.96
AG955;22954;79;Femme;>= 60 ans;Retraite;Non;Maison;7;29120;0,918457;8;0;0.2;0.96
AG996;23998;78;Femme;>= 60 ans;Retraite;Non;Maison;6;77120;1,063717;8;0;0.2;0.96
AG997;23998;78;Femme;>= 60 ans;Retraite;Non;Maison;6;77120;1,063717;8;0;0.2;0.96
AG998;24004;81;Femme;>= 60 ans;Retraite;Non;Maison;7;13500;0,914419;8;0;0.2;0.96
AG1012;24429;73;Femme;>= 60 ans;Retraite;Non;Maison;3;42230;0,903529;8;0;0.2;0.96
AG1013;24504;73;Femme;>= 60 ans;Retraite;Non;Maison;7;95520;1,01043;8;0;0.2;0.96
AG1014;24504;73;Femme;>= 60 ans;Retraite;Non;Maison;7;95520;1,01043;8;0;0.2;0.96
AG1073;26290;68;Femme;>= 60 ans;Retraite;Non;Maison;7;15220;1,063717;8;0;0.2;0.96
AG1094;26745;66;Femme;>= 60 ans;Retraite;Non;Maison;8;64600;0,934715;8;0;0.2;0.96
AG1095;26745;66;Femme;>= 60 ans;Retraite;Non;Maison;8;64600;0,934715;8;0;0.2;0.96
AG1096;26745;66;Femme;>= 60 ans;Retraite;Non;Maison;8;64600;0,934715;8;0;0.2;0.96
AG1111;27366;67;Femme;>= 60 ans;Retraite;Non;Maison;9;8090;1,063717;8;0;0.2;0.96
AG1142;28019;62;Femme;>= 60 ans;Retraite;Non;Maison;9;91170;1,01043;8;0;0.2;0.96
AG1143;28019;62;Femme;>= 60 ans;Retraite;Non;Maison;9;91170;1,01043;8;0;0.2;0.96
AG1195;29346;69;Femme;>= 60 ans;Retraite;Non;Maison;9;59670;1,063717;8;0;0.2;0.96
AG1202;29473;61;Femme;>= 60 ans;Retraite;Non;Maison;5;56110;0,955744;8;0;0.2;0.96
AG1215;29652;66;Femme;>= 60 ans;Retraite;Non;Maison;9;59320;1,063717;8;0;0.2;0.96
AG1216;29652;66;Femme;>= 60 ans;Retraite;Non;Maison;9;59320;1,063717;8;0;0.2;0.96
AG1242;30176;63;Femme;>= 60 ans;Retraite;Non;Maison;7;13380;0,914419;8;0;0.2;0.96
AG1248;30276;72;Femme;>= 60 ans;Retraite;Non;Maison;9;53200;0,955744;8;0;0.2;0.96
AG1250;30357;67;Femme;>= 60 ans;Retraite;Non;Maison;3;24100;0,918457;8;0;0.2;0.96
AG1251;30357;67;Femme;>= 60 ans;Retraite;Non;Maison;3;24100;0,918457;8;0;0.2;0.96
AG1260;30521;60;Femme;>= 60 ans;Retraite;Non;Maison;6;93320;1,01043;8;0;0.2;0.96
AG1261;30521;60;Femme;>= 60 ans;Retraite;Non;Maison;6;93320;1,01043;8;0;0.2;0.96
AG1296;31207;67;Femme;>= 60 ans;Retraite;Non;Maison;8;13008;0,914419;8;0;0.2;0.96
AG1313;31439;64;Femme;>= 60 ans;Retraite;Non;Maison;7;33160;0,934715;8;0;0.2;0.96
AG1320;31560;75;Femme;>= 60 ans;Retraite;Non;Maison;5;92700;1,01043;8;0;0.2;0.96
AG1321;31560;75;Femme;>= 60 ans;Retraite;Non;Maison;5;92700;1,01043;8;0;0.2;0.96
AG1359;33103;62;Femme;>= 60 ans;Retraite;Non;Maison;9;63210;1,063717;8;0;0.2;0.96
AG1423;35144;66;Femme;>= 60 ans;Retraite;Non;Maison;5;81390;1,100432;8;0;0.2;0.96
AG1448;36114;73;Femme;>= 60 ans;Retraite;Non;Maison;7;31800;1,100432;8;0;0.2;0.96
AG1466;36797;65;Femme;>= 60 ans;Retraite;Non;Maison;4;50000;0,918457;8;0;0.2;0.96
AG1473;36977;69;Femme;>= 60 ans;Retraite;Non;Maison;5;86000;0,934715;8;0;0.2;0.96
AG1474;36977;69;Femme;>= 60 ans;Retraite;Non;Maison;5;86000;0,934715;8;0;0.2;0.96
AG1475;36978;63;Femme;>= 60 ans;Retraite;Non;Maison;4;62690;0,923857;8;0;0.2;0.96
AG1476;36978;63;Femme;>= 60 ans;Retraite;Non;Maison;4;62690;0,923857;8;0;0.2;0.96
AG1522;38495;67;Femme;>= 60 ans;Retraite;Non;Maison;2;54560;0,923857;8;0;0.2;0.96
AG1523;38532;74;Femme;>= 60 ans;Retraite;Non;Maison;9;52130;1,063717;8;0;0.2;0.96
AG1596;40646;74;Femme;>= 60 ans;Retraite;Non;Maison;6;60220;0,923857;8;0;0.2;0.96
AG1597;40646;74;Femme;>= 60 ans;Retraite;Non;Maison;6;60220;0,923857;8;0;0.2;0.96
AG1598;40646;74;Femme;>= 60 ans;Retraite;Non;Maison;6;60220;0,923857;8;0;0.2;0.96
AG1641;41707;65;Femme;>= 60 ans;Retraite;Non;Maison;5;3330;1,063717;8;0;0.2;0.96
AG1642;41707;65;Femme;>= 60 ans;Retraite;Non;Maison;5;3330;1,063717;8;0;0.2;0.96
AG1692;43051;62;Femme;>= 60 ans;Retraite;Non;Maison;9;12200;1,100432;8;0;0.2;0.96
AG1693;43051;62;Femme;>= 60 ans;Retraite;Non;Maison;9;12200;1,100432;8;0;0.2;0.96
AG1717;43547;73;Femme;>= 60 ans;Retraite;Non;Maison;7;91150;0,887814;8;0;0.2;0.96
AG1718;43547;73;Femme;>= 60 ans;Retraite;Non;Maison;7;91150;0,887814;8;0;0.2;0.96
AG1719;43547;73;Femme;>= 60 ans;Retraite;Non;Maison;7;91150;0,887814;8;0;0.2;0.96
AG1720;43547;73;Femme;>= 60 ans;Retraite;Non;Maison;7;91150;0,887814;8;0;0.2;0.96
AG1733;43823;72;Femme;>= 60 ans;Retraite;Non;Maison;5;32220;1,100432;8;0;0.2;0.96
AG1738;44197;68;Femme;>= 60 ans;Retraite;Non;Maison;4;63570;0,923857;8;0;0.2;0.96
AG1838;48665;71;Femme;>= 60 ans;Retraite;Non;Maison;7;7400;0,918457;8;0;0.2;0.96
AG1868;49224;79;Femme;>= 60 ans;Retraite;Non;Maison;9;47700;1,100432;8;0;0.2;0.96
AG1869;49224;79;Femme;>= 60 ans;Retraite;Non;Maison;9;47700;1,100432;8;0;0.2;0.96
AG1889;49664;65;Femme;>= 60 ans;Retraite;Non;Maison;7;29000;0,918457;8;0;0.2;0.96
AG1911;50656;72;Femme;>= 60 ans;Retraite;Non;Maison;4;51460;0,923857;8;0;0.2;0.96
AG2036;54662;66;Femme;>= 60 ans;Retraite;Non;Maison;9;30700;0,934992;8;0;0.2;0.96
AG2063;55490;70;Femme;>= 60 ans;Retraite;Non;Maison;7;88600;1,063717;8;0;0.2;0.96
AG2103;56765;64;Femme;>= 60 ans;Retraite;Non;Maison;5;44460;1,100432;8;0;0.2;0.96
AG2152;59008;64;Femme;>= 60 ans;Retraite;Non;Maison;5;50680;1,100432;8;0;0.2;0.96
AG1744;44370;74;Femme;>= 60 ans;Retraite;Oui;Appartement;5;54000;0,903529;8;0;0.5;0.5
AG2000;53351;68;Femme;>= 60 ans;Retraite;Oui;Appartement;3;35400;0,918457;8;0;0.5;0.5
AG2073;56234;69;Femme;>= 60 ans;Retraite;Oui;Appartement;5;39000;0,887814;8;0;0.5;0.5
AG2074;56234;69;Femme;>= 60 ans;Retraite;Oui;Appartement;5;39000;0,887814;8;0;0.5;0.5
AG2202;61130;71;Femme;>= 60 ans;Retraite;Oui;Appartement;4;13012;0,914419;8;0;0.5;0.5
AG1732;43823;72;Femme;>= 60 ans;Retraite;Oui;Maison;5;32220;1,100432;8;0;0.2;0.96
AG1760;44833;73;Femme;>= 60 ans;Retraite;Oui;Maison;9;91470;0,923857;8;0;0.2;0.96
AG1835;48461;60;Femme;>= 60 ans;Retraite;Oui;Maison;7;19210;1,063717;8;0;0.2;0.96
AG1888;49664;65;Femme;>= 60 ans;Retraite;Oui;Maison;7;29000;0,918457;8;0;0.2;0.96
AG2198;60972;73;Femme;>= 60 ans;Retraite;Oui;Maison;5;86380;1,100432;8;0;0.2;0.96
AG439;10042;38;Femme;30-44 ans;Autre inactif;Non;Appartement;9;94000;1,275405;9;2;0.5;0.5
AG440;10042;38;Femme;30-44 ans;Autre inactif;Non;Appartement;9;94000;1,275405;9;2;0.5;0.5
AG785;19865;42;Femme;30-44 ans;Autre inactif;Non;Appartement;2;56650;1,206379;9;0;0.5;0.5
AG1661;42159;40;Femme;30-44 ans;Autre inactif;Non;Appartement;4;63100;1,140471;9;0;0.5;0.5
AG1833;48309;39;Femme;30-44 ans;Autre inactif;Non;Appartement;4;51100;1,140471;9;0;0.5;0.5
AG1919;51010;39;Femme;30-44 ans;Autre inactif;Non;Appartement;3;57290;1,140471;9;0;0.5;0.5
AG2124;57751;39;Femme;30-44 ans;Autre inactif;Non;Appartement;2;20140;1,358849;9;0;0.5;0.5
AG2125;57751;39;Femme;30-44 ans;Autre inactif;Non;Appartement;2;20140;1,358849;9;0;0.5;0.5
AG2136;58251;38;Femme;30-44 ans;Autre inactif;Non;Appartement;2;2200;1,120634;9;0;0.5;0.5
AG2218;61912;41;Femme;30-44 ans;Autre inactif;Non;Appartement;4;61000;1,120634;9;0;0.5;0.5
AG787;19884;34;Femme;30-44 ans;Autre inactif;Non;Maison;2;60870;1,140471;9;0;0.68;0.84
AG1767;45107;38;Femme;30-44 ans;Autre inactif;Non;Maison;1;45770;1,140471;9;0;0.68;0.84
AG1959;52205;40;Femme;30-44 ans;Autre inactif;Non;Maison;3;89460;1,342667;9;0;0.68;0.84
AG2119;57388;37;Femme;30-44 ans;Autre inactif;Non;Maison;5;79140;1,389009;9;0;0.68;0.84
AG2183;60357;40;Femme;30-44 ans;Autre inactif;Non;Maison;5;59990;1,342667;9;0;0.68;0.84
AG2184;60357;40;Femme;30-44 ans;Autre inactif;Non;Maison;5;59990;1,342667;9;0;0.68;0.84
AG2204;61259;30;Femme;30-44 ans;Autre inactif;Non;Maison;4;29710;1,389009;9;0;0.68;0.84
AG2222;62042;37;Femme;30-44 ans;Autre inactif;Non;Maison;7;40240;1,389009;9;0;0.68;0.84
AG2223;62042;37;Femme;30-44 ans;Autre inactif;Non;Maison;7;40240;1,389009;9;0;0.68;0.84
AG2292;62165;32;Femme;30-44 ans;Autre inactif;Non;Maison;5;33114;1,206379;9;0;0.68;0.84
AG2293;62165;32;Femme;30-44 ans;Autre inactif;Non;Maison;5;33114;1,206379;9;0;0.68;0.84
AG116;2718;43;Femme;30-44 ans;Autre inactif;Oui;Appartement;2;90100;1,16613;9;2;0.2;0.94
AG128;3013;44;Femme;30-44 ans;Autre inactif;Oui;Appartement;5;20214;1,358849;9;2;0.2;0.94
AG556;12467;32;Femme;30-44 ans;Autre inactif;Oui;Appartement;2;13016;1,154217;9;1;0.2;0.94
AG727;18218;42;Femme;30-44 ans;Autre inactif;Oui;Appartement;2;80000;1,140471;9;0;0.2;0.94
AG1071;26097;34;Femme;30-44 ans;Autre inactif;Oui;Appartement;3;8200;1,120634;9;0;0.2;0.94
AG1081;26518;40;Femme;30-44 ans;Autre inactif;Oui;Appartement;2;10100;1,16613;9;0;0.2;0.94
AG1082;26518;40;Femme;30-44 ans;Autre inactif;Oui;Appartement;2;10100;1,16613;9;0;0.2;0.94
AG1501;37628;43;Femme;30-44 ans;Autre inactif;Oui;Appartement;3;83200;1,154217;9;0;0.2;0.94
AG114;2687;41;Femme;30-44 ans;Autre inactif;Oui;Maison;4;11320;1,358849;9;2;0.5;0.5
AG115;2687;41;Femme;30-44 ans;Autre inactif;Oui;Maison;4;11320;1,358849;9;2;0.5;0.5
AG792;20006;43;Femme;30-44 ans;Autre inactif;Oui;Maison;4;46350;1,389009;9;0;0.5;0.5
AG793;20006;43;Femme;30-44 ans;Autre inactif;Oui;Maison;4;46350;1,389009;9;0;0.5;0.5
