AGENT;ID;Sexe;Age;Activite;Revenu;CALCAGE;CP;TLUDA9;TLUDA5;TLCC9;TLCC5;RS3;CSP;C1;C2;C4;C3;O_C3;NRJ;QP1;QP2;QP3_A1;QP3_A2;QP3_A3;QP4;QP5_A1;QP5_A2;QP5_A3;QP5_A4;QP5_A5;QP5_A6;QP6_A1;QP6_A2;QP6_A3;QP6_A4;QP6_A5;QP6_A6;QP6_A7;QP7_M1;O_QP7_M1;QP7_M2;O_QP7_M2;QP7_M3;O_QP7_M3;QF1;QF2;QF3;QF4;QF5;QF6;QR1_A1;QR1_A2;QR1_A3;QR1_A4;QR1_A5;QR1_A6;QR1_A7;QR1_A8;QR1_A9;QR1_A10;QR1_A11;QR2;Q_F1;Q_F2;Q_F3;Q_F4;Q_F5;Q_F6;Q_F7;Q_F8;Q_F9_M1;O_Q_F9_M1;Q_F9_M2;O_Q_F9_M2;Q_F9_M3;O_Q_F9_M3;Q_F10;QE1;QE2;QE3;QE4;QE5;QE6_M1;O_QE6_M1;QE6_M2;O_QE6_M2;QE6_M3;O_QE6_M3;QE6_M4;O_QE6_M4;QE6_M5;O_QE6_M5;QE6_M6;O_QE6_M6;QE6_M7;O_QE6_M7;QE6_M8;O_QE6_M8;QE6_M9;O_QE6_M9;QE6_M10;O_QE6_M10;QE6_M11;O_QE6_M11;QE7;QE8;QA1;QA2;QA3;QA4;QA5;QC4;QC5;QC6;QC7;QC8;QC9;QC10;QC11;QC12;QC13_M1;QC13_M2;QC13_M3;QC13_M4;QC13_M5;QC13_M6;QC13_M7;QC13_M8;QC13_M9;QC13_M10;QC13_M11;QC13_M12;QC13_M13;QC14;QC15;QC16;S9;S10;QC17;S4;QC18_M1;QC18_M2;QC18_M3;QC18_M4;QC18_M5;POIDS
AG179;4194;1;3;8;3;52;53000;3;2;6;3;2;3;;2;1;1;;1;2;2;2;4;2;2;3;99;2;3;3;99;4;;4;4;1;;2;2;;5;;4;;5;1;2;99;2;2;1;2;2;2;2;2;2;2;2;1;2;2;3;3;1;4;;;4;;7;;8;;2;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;7;1;3;2;2;2;2;3;3;2;3;3;1;2;1;13;7;8;3;6;;;;;;;2;;1;1;;4;7;97;;;;;1,200951
AG180;4210;1;3;3;8;52;69390;8;5;8;4;1;1;1;NA;1;3;;2;2;2;2;3;3;3;3;3;1;3;1;1;3;2;2;2;3;2;2;2;;3;;5;;3;NA;2;2;2;5;2;2;3;3;3;2;2;3;4;2;2;3;2;3;2;3;NA;NA;3;NA;6;;4;;5;;3;NA;1;3;1;NA;NA;;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1;2;1;3;4;1;6;6;4;2;2;1;1;1;3;10;13;5;7;6;8;2;NA;NA;NA;NA;NA;1;1;2;2;1;3;10;2;3;NA;NA;NA;0,920867
AG181;4229;1;4;7;7;65;46200;7;4;2;2;2;3;NA;NA;1;3;;2;2;1;1;2;2;3;3;1;1;1;99;99;1;1;2;3;NA;NA;2;2;;3;;5;;5;NA;2;2;3;7;2;3;3;4;2;2;2;3;4;2;2;1;3;2;2;3;NA;NA;4;NA;6;;1;;5;;3;NA;1;3;1;NA;NA;;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1;1;1;4;4;1;4;4;2;2;99;1;1;1;5;7;10;8;2;6;3;9;13;NA;NA;NA;NA;2;NA;1;1;NA;4;10;1;5;3;2;4;1,010861
AG182;4232;1;4;7;5;75;67200;5;3;8;4;1;3;NA;NA;1;98;…lectricitÈ de Strasbourg;2;2;2;4;3;3;1;3;1;3;2;3;99;3;3;2;3;3;NA;1;2;;5;;4;;5;NA;1;2;5;9;1;4;4;3;4;2;1;2;4;2;2;1;3;3;2;4;NA;NA;3;NA;3;;5;;2;;3;NA;1;3;99;NA;NA;;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;2;NA;2;2;4;2;5;5;4;3;99;1;1;1;1;2;10;7;5;3;13;9;6;NA;NA;NA;NA;2;NA;2;2;1;2;10;97;NA;NA;NA;NA;0,955635
AG183;4247;1;4;7;7;72;31000;7;4;8;4;2;3;;;1;1;;1;2;2;1;4;4;2;3;3;1;1;1;2;2;2;2;3;2;2;2;3;;98;exiger du gouvernement de revenir ¬á un prix national et non europ√àen;2;;5;1;2;2;3;5;2;1;3;1;4;2;1;2;4;1;1;1;3;3;1;3;;;4;;4;;1;;7;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;5;1;4;4;2;5;5;3;6;99;2;2;2;6;8;2;9;13;10;3;1;;;;;;2;;1;2;1;4;11;2;1;;;;0,988619
AG184;4247;1;4;7;7;72;31000;7;4;8;4;2;3;;;1;1;;1;2;2;1;4;4;2;3;3;1;1;1;2;2;2;2;3;2;2;2;3;;98;exiger du gouvernement de revenir ¬á un prix national et non europ√àen;2;;5;1;2;2;3;5;2;1;3;1;4;2;1;2;4;1;1;1;3;3;1;3;;;4;;4;;1;;7;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;5;1;4;4;2;5;5;3;6;99;2;2;2;6;8;2;9;13;10;3;1;;;;;;2;;1;2;1;4;11;2;1;;;;0,988619
AG185;4259;1;3;3;8;47;92380;1;1;9;5;1;1;1;NA;1;3;;2;1;2;2;2;2;2;3;3;1;1;3;3;3;3;3;3;4;2;2;2;;3;;5;;2;NA;2;2;3;5;2;2;3;3;3;3;2;3;3;2;2;4;2;4;4;3;NA;NA;3;NA;6;;1;;5;;4;NA;2;3;NA;NA;NA;;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;2;3;2;4;1;7;6;4;2;2;2;1;1;13;2;4;10;1;8;3;7;6;5;NA;NA;NA;1;2;1;5;4;4;11;97;NA;NA;NA;NA;1,029818
AG186;4260;1;4;7;9;70;56640;3;2;2;2;2;3;;;2;1;;1;1;2;4;3;3;2;99;99;1;1;99;99;;;4;4;;;4;5;;3;;2;;5;99;1;99;99;7;2;2;3;2;2;2;2;2;3;1;2;2;3;2;1;3;;;4;;1;;6;;9;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;5;2;2;3;1;5;5;3;1;99;1;1;1;3;5;2;6;10;13;1;8;7;;;;;2;;1;2;1;4;5;97;;;;;1,010861
AG187;4260;1;4;7;9;70;56640;3;2;2;2;2;3;;;2;1;;1;1;2;4;3;3;2;99;99;1;1;99;99;;;4;4;;;4;5;;3;;2;;5;99;1;99;99;7;2;2;3;2;2;2;2;2;3;1;2;2;3;2;1;3;;;4;;1;;6;;9;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;5;2;2;3;1;5;5;3;1;99;1;1;1;3;5;2;6;10;13;1;8;7;;;;;2;;1;2;1;4;5;97;;;;;1,010861
AG188;4339;1;4;7;7;77;69270;8;5;8;4;1;3;NA;NA;1;3;;2;2;2;3;3;2;3;99;99;3;3;99;3;NA;NA;3;3;NA;1;2;2;;5;;1;;3;NA;2;2;2;2;2;2;4;4;3;1;1;2;4;3;2;2;2;1;3;3;NA;NA;3;NA;4;;NA;;NA;;2;NA;1;3;1;NA;NA;;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;4;1;4;4;1;6;6;5;6;99;2;2;2;1;13;3;4;8;6;2;5;9;NA;NA;NA;NA;2;NA;1;2;1;4;7;97;NA;NA;NA;NA;0,955635
AG189;4342;2;3;4;5;54;33000;7;4;8;4;2;1;1;;1;1;;1;2;2;2;3;3;2;99;99;1;1;99;99;;;3;3;;;2;5;;2;;;;5;99;1;2;99;9;2;2;3;2;3;2;1;2;3;2;2;2;3;3;2;3;;;4;;8;;4;;6;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;3;2;3;1;4;3;3;6;99;1;1;1;6;13;3;2;1;7;10;8;4;;;;;2;;1;1;;3;7;97;;;;;0,900709
AG190;4391;2;3;4;8;47;44115;3;2;8;4;2;1;1;;3;1;;1;2;2;2;2;2;2;3;3;3;1;99;99;4;4;4;3;;;1;2;;3;;5;;5;1;1;2;3;5;1;1;4;3;3;1;1;2;4;2;1;1;3;3;1;2;3;99;4;;4;;2;;7;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;4;1;4;4;1;6;6;4;4;2;1;1;1;5;1;8;3;7;13;2;6;10;;;;;2;;1;5;2;4;8;97;;;;;0,900709
AG191;4391;2;3;4;8;47;44115;3;2;8;4;2;1;1;;3;1;;1;2;2;2;2;2;2;3;3;3;1;99;99;4;4;4;3;;;1;2;;3;;5;;5;1;1;2;3;5;1;1;4;3;3;1;1;2;4;2;1;1;3;3;1;2;3;99;4;;4;;2;;7;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;4;1;4;4;1;6;6;4;4;2;1;1;1;5;1;8;3;7;13;2;6;10;;;;;2;;1;5;2;4;8;97;;;;;0,900709
AG192;4403;2;3;5;7;56;27670;2;2;8;4;1;2;1;;1;1;;1;1;1;2;2;2;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;;5;;2;;5;2;1;2;3;6;2;2;2;2;2;2;2;2;2;2;2;1;3;3;1;1;2;99;4;;4;;1;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;4;1;4;4;1;6;5;4;6;2;1;1;1;13;10;7;2;6;1;8;5;3;;;;;2;;1;2;1;4;7;97;;;;;0,844748
AG193;4403;2;3;5;7;56;27670;2;2;8;4;1;2;1;;1;1;;1;1;1;2;2;2;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;;5;;2;;5;2;1;2;3;6;2;2;2;2;2;2;2;2;2;2;2;1;3;3;1;1;2;99;4;;4;;1;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;4;1;4;4;1;6;5;4;6;2;1;1;1;13;10;7;2;6;1;8;5;3;;;;;2;;1;2;1;4;7;97;;;;;0,844748
AG194;4406;1;4;7;7;71;44600;3;2;7;4;2;3;NA;NA;1;2;;2;2;2;2;4;3;3;3;3;3;3;99;99;4;4;2;2;NA;NA;2;5;;3;;2;;1;NA;2;1;2;5;2;2;3;2;2;2;2;2;3;2;2;3;4;2;2;3;NA;NA;3;NA;4;;6;;5;;2;NA;1;2;2;1;1;;4;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;1;1;1;3;4;1;5;6;5;1;1;1;4;1;8;1;3;13;2;7;4;5;6;10;NA;NA;NA;2;NA;1;2;1;4;4;4;NA;NA;NA;NA;0,988619
AG195;4425;1;4;7;4;63;86000;3;2;7;4;2;3;;;1;1;;1;2;2;2;4;2;3;99;99;3;3;99;3;;;3;3;;2;3;5;;3;;2;;2;1;2;2;2;2;2;3;4;3;3;2;2;2;4;3;3;3;1;2;3;4;;;3;;7;;4;;;;2;1;;1;;1;4;;;;;;;;;;;;;;;;;;;;;;1;3;2;;1;3;3;1;4;4;4;4;2;2;2;2;13;3;8;6;2;1;;;;;;;;2;;1;1;;3;5;1;;;;;0,988619
AG196;4425;1;4;7;4;63;86000;3;2;7;4;2;3;;;1;1;;1;2;2;2;4;2;3;99;99;3;3;99;3;;;3;3;;2;3;5;;3;;2;;2;1;2;2;2;2;2;3;4;3;3;2;2;2;4;3;3;3;1;2;3;4;;;3;;7;;4;;;;2;1;;1;;1;4;;;;;;;;;;;;;;;;;;;;;;1;3;2;;1;3;3;1;4;4;4;4;2;2;2;2;13;3;8;6;2;1;;;;;;;;2;;1;1;;3;5;1;;;;;0,988619
AG197;4480;2;4;7;4;62;6700;9;5;8;4;3;3;;;2;1;;1;2;2;4;4;4;1;99;99;3;1;1;1;;;1;1;1;1;1;2;;4;;5;;5;1;1;2;2;3;1;1;4;1;3;1;1;1;1;1;1;2;3;2;2;3;;;3;;7;;3;;5;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;1;4;3;2;3;3;4;2;2;1;1;1;8;5;9;1;10;2;3;13;;;;;;2;;1;2;1;3;4;97;;;;;0,914419
AG198;4502;1;3;1;3;53;17200;3;2;5;3;2;1;1;;1;1;;1;1;2;1;4;4;3;99;99;2;99;99;99;;;4;;;;4;2;;5;;;;5;1;2;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;1;4;;;4;;10;;;;;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;;1;4;4;1;5;5;4;6;99;5;5;1;13;3;1;2;7;6;;;;;;;;2;;1;2;1;3;7;97;;;;;0,936081
AG199;4517;1;4;7;8;74;88400;5;3;3;2;1;3;;;2;1;;1;2;2;2;3;3;2;99;99;3;3;3;2;;;3;3;3;2;2;3;;2;;;;5;1;2;2;3;1;1;1;3;2;2;2;1;1;3;4;2;1;3;3;1;3;;;4;;8;;1;;;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;1;3;4;2;6;4;3;1;2;2;2;1;1;5;7;13;3;8;2;6;;;;;;2;;1;2;1;4;4;1;;;;;0,977134
AG200;4570;1;4;3;8;65;95120;1;1;9;5;1;1;1;;1;1;;1;1;1;4;1;2;3;3;3;3;3;3;1;3;3;2;2;2;3;3;5;;2;;;;5;1;99;2;5;3;2;2;4;3;3;3;1;3;4;2;2;3;2;2;2;3;;;3;;8;;7;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;5;1;4;4;1;6;6;3;6;99;5;5;1;5;6;8;2;4;3;1;13;7;;;;;2;;1;1;;3;10;3;4;5;;;0,832997
AG201;4596;1;3;7;6;58;63540;8;5;8;4;1;3;NA;NA;2;3;;2;2;1;2;2;2;1;3;3;1;1;99;99;4;4;4;2;NA;NA;1;4;;2;;5;;2;NA;1;2;4;8;2;2;4;4;4;1;2;4;4;2;2;2;4;1;2;3;NA;NA;3;NA;6;;4;;1;;4;NA;1;1;1;1;9;;4;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1;1;1;1;4;4;1;4;3;4;6;99;1;1;1;6;1;8;10;7;13;3;2;NA;NA;NA;NA;NA;2;NA;2;2;1;3;3;1;2;NA;NA;NA;1,181433
AG202;4648;1;4;7;6;65;44380;3;2;7;4;2;3;;;2;1;;1;2;2;4;3;3;2;3;99;1;3;99;3;2;;2;2;;2;2;2;;5;;3;;2;1;2;2;2;3;2;2;4;3;3;2;2;2;2;1;3;2;3;2;2;3;;;3;;7;;8;;9;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;1;4;3;1;4;4;6;1;1;2;2;3;5;3;2;8;1;13;7;;;;;;;2;;1;2;1;3;11;97;;;;;0,988619
AG203;4674;1;3;6;5;55;49120;3;2;5;3;2;2;1;;1;1;;1;1;2;4;3;3;2;3;99;1;1;99;99;4;;4;4;;;3;4;;2;;3;;1;1;1;2;3;3;4;4;4;4;4;2;4;4;4;4;2;3;4;2;2;3;;;3;;4;;10;;8;;3;1;;1;;3;2;;;;;;;;;;;;;;;;;;;;;;99;2;1;2;1;4;3;1;3;4;4;5;99;4;4;3;1;6;13;3;8;5;;;;;;;;2;;2;4;3;1;4;2;1;;;;0,908224
AG204;4674;1;3;6;5;55;49120;3;2;5;3;2;2;1;;1;1;;1;1;2;4;3;3;2;3;99;1;1;99;99;4;;4;4;;;3;4;;2;;3;;1;1;1;2;3;3;4;4;4;4;4;2;4;4;4;4;2;3;4;2;2;3;;;3;;4;;10;;8;;3;1;;1;;3;2;;;;;;;;;;;;;;;;;;;;;;99;2;1;2;1;4;3;1;3;4;4;5;99;4;4;3;1;6;13;3;8;5;;;;;;;;2;;2;4;3;1;4;2;1;;;;0,908224
AG205;4674;1;3;6;5;55;49120;3;2;5;3;2;2;1;;1;1;;1;1;2;4;3;3;2;3;99;1;1;99;99;4;;4;4;;;3;4;;2;;3;;1;1;1;2;3;3;4;4;4;4;4;2;4;4;4;4;2;3;4;2;2;3;;;3;;4;;10;;8;;3;1;;1;;3;2;;;;;;;;;;;;;;;;;;;;;;99;2;1;2;1;4;3;1;3;4;4;5;99;4;4;3;1;6;13;3;8;5;;;;;;;;2;;2;4;3;1;4;2;1;;;;0,908224
AG206;4690;1;3;4;7;45;50700;2;2;3;2;2;1;1;NA;1;3;;2;2;2;3;2;2;3;3;99;1;1;99;99;4;NA;4;4;NA;NA;4;3;;4;;5;;1;NA;1;2;3;5;1;3;3;3;2;1;1;4;4;2;1;2;4;2;4;3;NA;NA;3;NA;4;;NA;;NA;;2;NA;1;2;2;3;98;Grosse augmentation de prix de mon ancien fournisseur, CDISCOUNT ENERGIES;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;3;1;1;2;2;4;2;5;5;4;3;99;1;1;1;10;6;5;13;1;8;2;3;7;NA;NA;NA;NA;2;NA;3;5;4;1;7;2;1;5;3;NA;0,974084
AG207;4693;1;4;7;4;67;84110;9;5;1;1;2;3;;;1;1;;1;2;2;4;3;3;2;99;99;2;3;99;99;;;2;2;;;2;3;;2;;4;;5;99;1;2;99;2;1;2;3;4;3;2;1;3;3;1;1;4;3;3;1;3;;;4;;7;;8;;1;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;2;3;4;1;2;4;2;6;99;4;1;1;8;10;13;2;5;3;9;6;7;1;;;;2;;1;1;;4;9;97;;;;;1,163892
AG208;4753;1;4;7;5;62;95100;1;1;9;5;1;3;;;1;1;;1;2;2;2;4;4;2;99;99;1;2;99;2;;;1;3;;2;2;2;;5;;98;Eclairage LED;5;1;2;2;3;3;1;1;4;2;3;2;1;3;4;2;1;2;3;2;2;3;;;2;10;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;1;4;4;1;3;3;4;6;2;2;2;1;2;8;9;6;1;3;5;13;7;;;;;1;1;1;2;1;4;3;2;;;;;1,0687
AG209;4753;1;4;7;5;62;95100;1;1;9;5;1;3;;;1;1;;1;2;2;2;4;4;2;99;99;1;2;99;2;;;1;3;;2;2;2;;5;;98;Eclairage LED;5;1;2;2;3;3;1;1;4;2;3;2;1;3;4;2;1;2;3;2;2;3;;;2;10;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;1;4;4;1;3;3;4;6;2;2;2;1;2;8;9;6;1;3;5;13;7;;;;;1;1;1;2;1;4;3;2;;;;;1,0687
AG210;4753;1;4;7;5;62;95100;1;1;9;5;1;3;;;1;1;;1;2;2;2;4;4;2;99;99;1;2;99;2;;;1;3;;2;2;2;;5;;98;Eclairage LED;5;1;2;2;3;3;1;1;4;2;3;2;1;3;4;2;1;2;3;2;2;3;;;2;10;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;1;4;4;1;3;3;4;6;2;2;2;1;2;8;9;6;1;3;5;13;7;;;;;1;1;1;2;1;4;3;2;;;;;1,0687
AG211;4772;1;2;4;5;42;69005;8;5;8;4;1;1;1;;1;1;;1;2;2;2;4;4;1;99;3;3;3;3;99;;4;4;4;1;;2;3;;2;;5;;3;1;2;2;2;3;1;1;4;1;4;1;1;1;4;2;1;1;2;3;3;3;;;4;;9;;1;;8;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;2;1;4;4;2;3;3;3;2;99;3;3;1;5;1;7;2;8;13;6;3;;;;;;2;;1;1;;4;7;5;;;;;0,940204
AG212;4831;1;4;4;5;62;59242;4;3;4;2;1;1;2;;2;1;;1;2;2;2;2;2;2;99;1;1;1;99;1;;2;3;2;;2;2;2;;4;;3;;4;1;1;2;3;5;2;2;3;2;2;2;2;2;2;2;2;2;4;1;2;2;2;3;2;50;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;3;3;3;1;4;5;3;3;2;2;1;1;1;3;10;8;13;6;7;2;;;;;;1;2;1;3;1;4;10;5;2;1;;;0,761627
AG213;4831;1;4;4;5;62;59242;4;3;4;2;1;1;2;;2;1;;1;2;2;2;2;2;2;99;1;1;1;99;1;;2;3;2;;2;2;2;;4;;3;;4;1;1;2;3;5;2;2;3;2;2;2;2;2;2;2;2;2;4;1;2;2;2;3;2;50;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;3;3;3;1;4;5;3;3;2;2;1;1;1;3;10;8;13;6;7;2;;;;;;1;2;1;3;1;4;10;5;2;1;;;0,761627
AG214;4857;1;3;3;7;54;6750;9;5;1;1;3;1;1;;2;1;;1;2;2;2;3;3;2;3;99;2;3;99;99;3;;2;3;;;2;4;;2;;5;;5;1;1;2;3;4;3;4;4;1;3;2;2;2;4;4;3;2;3;4;2;3;;;3;;7;;4;;1;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;4;3;2;1;4;4;4;1;3;6;1;1;6;13;8;3;7;2;5;1;10;;;;;2;;1;2;1;4;11;97;;;;;1,097195
AG215;4948;1;2;3;8;42;69007;8;5;8;4;1;1;1;;2;1;;1;2;2;1;4;4;2;3;99;1;3;3;2;4;;2;3;4;4;3;5;;2;;1;;5;1;2;2;2;2;1;1;3;1;3;2;1;2;4;1;1;2;4;3;2;2;2;2;3;;3;;6;;7;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;2;2;2;4;2;4;4;5;3;2;2;2;3;1;2;6;5;13;3;8;;;;;;;2;;1;2;1;4;10;97;;;;;0,940204
AG216;4948;1;2;3;8;42;69007;8;5;8;4;1;1;1;;2;1;;1;2;2;1;4;4;2;3;99;1;3;3;2;4;;2;3;4;4;3;5;;2;;1;;5;1;2;2;2;2;1;1;3;1;3;2;1;2;4;1;1;2;4;3;2;2;2;2;3;;3;;6;;7;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;2;2;2;4;2;4;4;5;3;2;2;2;3;1;2;6;5;13;3;8;;;;;;;2;;1;2;1;4;10;97;;;;;0,940204
AG217;4956;1;3;5;7;55;95300;1;1;9;5;1;2;1;;2;1;;1;2;2;2;2;2;2;3;99;1;1;99;3;2;;1;1;;2;2;5;;2;;3;;5;1;2;2;2;3;1;1;4;3;3;2;1;3;4;2;1;1;2;3;2;3;;;4;;7;;5;;4;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;2;2;4;1;3;2;3;1;99;2;2;1;13;5;1;3;2;6;7;8;;;;;;2;;1;2;1;3;7;4;1;;;;0,999173
AG218;4984;2;4;7;6;66;11120;9;5;1;1;3;3;;;1;1;;1;2;2;3;1;2;2;99;3;3;3;99;99;;2;2;1;;;2;98;Installation de panneaux photovoltaiques en auto consommation;;;;;5;99;1;1;2;3;2;2;3;1;2;2;1;2;3;2;2;2;4;3;2;2;3;3;3;;6;;5;;7;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;2;3;3;1;5;5;5;3;2;4;1;3;8;11;3;6;13;10;2;9;5;1;;;;2;;1;2;1;4;5;1;4;;;;1,076538
AG219;4984;2;4;7;6;66;11120;9;5;1;1;3;3;;;1;1;;1;2;2;3;1;2;2;99;3;3;3;99;99;;2;2;1;;;2;98;Installation de panneaux photovoltaiques en auto consommation;;;;;5;99;1;1;2;3;2;2;3;1;2;2;1;2;3;2;2;2;4;3;2;2;3;3;3;;6;;5;;7;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;2;3;3;1;5;5;5;3;2;4;1;3;8;11;3;6;13;10;2;9;5;1;;;;2;;1;2;1;4;5;1;4;;;;1,076538
AG220;4984;2;4;7;6;66;11120;9;5;1;1;3;3;;;1;1;;1;2;2;3;1;2;2;99;3;3;3;99;99;;2;2;1;;;2;98;Installation de panneaux photovoltaiques en auto consommation;;;;;5;99;1;1;2;3;2;2;3;1;2;2;1;2;3;2;2;2;4;3;2;2;3;3;3;;6;;5;;7;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;2;3;3;1;5;5;5;3;2;4;1;3;8;11;3;6;13;10;2;9;5;1;;;;2;;1;2;1;4;5;1;4;;;;1,076538
AG221;4984;2;4;7;6;66;11120;9;5;1;1;3;3;;;1;1;;1;2;2;3;1;2;2;99;3;3;3;99;99;;2;2;1;;;2;98;Installation de panneaux photovoltaiques en auto consommation;;;;;5;99;1;1;2;3;2;2;3;1;2;2;1;2;3;2;2;2;4;3;2;2;3;3;3;;6;;5;;7;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;2;3;3;1;5;5;5;3;2;4;1;3;8;11;3;6;13;10;2;9;5;1;;;;2;;1;2;1;4;5;1;4;;;;1,076538
AG222;5016;1;4;7;6;72;33000;7;4;8;4;2;3;;;2;1;;1;1;2;3;3;3;2;99;99;1;1;99;2;;;3;3;;2;2;2;;3;;5;;5;1;2;2;3;6;3;3;3;4;3;2;2;2;3;2;2;3;3;1;3;3;;;4;;7;;1;;4;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;7;1;4;4;1;5;5;3;6;99;4;1;2;6;8;2;10;5;13;3;1;;;;;;2;;1;2;1;4;8;1;;;;;0,988619
AG223;5023;2;4;7;7;66;49440;3;2;2;2;2;3;;;2;1;;1;2;2;2;3;3;2;99;99;1;3;99;99;;;2;3;;;3;2;;4;;3;;5;1;1;2;3;5;1;1;3;2;2;2;1;2;3;2;2;2;3;3;2;3;;;4;;7;;8;;5;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;2;2;3;1;6;6;4;6;99;1;1;1;6;13;2;3;1;5;8;7;10;;;;;2;;1;2;1;4;7;97;;;;;0,955744
AG224;5239;1;4;7;6;77;69310;8;5;8;4;1;3;;;2;1;;1;2;99;2;3;4;2;99;99;3;2;99;1;;;2;1;;2;2;2;;98;Passer du 220 au 110v;;;5;1;2;2;2;5;2;1;4;4;4;1;1;4;4;2;2;2;2;3;2;3;;;3;;1;;7;;4;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;1;4;4;1;5;5;4;2;2;2;2;1;5;1;9;3;4;7;2;13;11;8;6;;;2;;1;2;1;4;3;1;2;4;5;;0,955635
AG225;5247;2;4;7;5;65;62100;4;3;6;3;1;3;;;2;1;;1;2;2;2;4;3;2;3;99;1;1;99;3;2;;2;2;;2;2;2;;3;;5;;5;1;2;2;5;4;1;1;2;3;2;1;1;1;2;3;1;1;3;3;1;3;;;4;;7;;6;;5;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;;1;4;4;2;5;5;3;6;99;2;2;3;7;13;1;3;6;8;2;;;;;;;2;;2;2;1;4;4;97;;;;;0,887814
AG226;5252;1;4;7;6;69;59200;4;3;8;4;1;3;NA;NA;2;4;;2;1;2;2;2;2;2;3;1;3;3;99;3;3;3;2;3;NA;2;2;2;;3;;5;;3;NA;2;1;3;3;2;3;3;3;2;1;2;3;3;3;2;3;4;2;3;2;3;2;2;75;NA;;NA;;NA;;2;NA;1;3;2;NA;NA;;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;3;1;3;4;1;4;5;4;6;99;2;2;1;1;6;3;7;8;2;13;5;NA;NA;NA;NA;NA;2;NA;1;2;1;1;7;97;NA;NA;NA;NA;0,955635
