AGENT;ID;Sexe;Age;Activite;Revenu;CALCAGE;CP;TLUDA9;TLUDA5;TLCC9;TLCC5;RS3;CSP;C1;C2;C4;C3;O_C3;NRJ;QP1;QP2;QP3_A1;QP3_A2;QP3_A3;QP4;QP5_A1;QP5_A2;QP5_A3;QP5_A4;QP5_A5;QP5_A6;QP6_A1;QP6_A2;QP6_A3;QP6_A4;QP6_A5;QP6_A6;QP6_A7;QP7_M1;O_QP7_M1;QP7_M2;O_QP7_M2;QP7_M3;O_QP7_M3;QF1;QF2;QF3;QF4;QF5;QF6;QR1_A1;QR1_A2;QR1_A3;QR1_A4;QR1_A5;QR1_A6;QR1_A7;QR1_A8;QR1_A9;QR1_A10;QR1_A11;QR2;Q_F1;Q_F2;Q_F3;Q_F4;Q_F5;Q_F6;Q_F7;Q_F8;Q_F9_M1;O_Q_F9_M1;Q_F9_M2;O_Q_F9_M2;Q_F9_M3;O_Q_F9_M3;Q_F10;QE1;QE2;QE3;QE4;QE5;QE6_M1;O_QE6_M1;QE6_M2;O_QE6_M2;QE6_M3;O_QE6_M3;QE6_M4;O_QE6_M4;QE6_M5;O_QE6_M5;QE6_M6;O_QE6_M6;QE6_M7;O_QE6_M7;QE6_M8;O_QE6_M8;QE6_M9;O_QE6_M9;QE6_M10;O_QE6_M10;QE6_M11;O_QE6_M11;QE7;QE8;QA1;QA2;QA3;QA4;QA5;QC4;QC5;QC6;QC7;QC8;QC9;QC10;QC11;QC12;QC13_M1;QC13_M2;QC13_M3;QC13_M4;QC13_M5;QC13_M6;QC13_M7;QC13_M8;QC13_M9;QC13_M10;QC13_M11;QC13_M12;QC13_M13;QC14;QC15;QC16;S9;S10;QC17;S4;QC18_M1;QC18_M2;QC18_M3;QC18_M4;QC18_M5;POIDS
AG1047;25473;1;3;4;6;49;59620;4;3;7;4;1;1;1;NA;1;3;;2;2;2;1;4;4;2;3;3;1;3;3;3;1;1;1;4;1;1;1;3;;4;;5;;3;NA;2;1;1;4;1;1;4;4;4;1;1;4;4;2;1;2;3;3;2;3;NA;NA;4;NA;4;;5;;1;;2;NA;1;3;2;NA;NA;;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;1;1;4;4;2;4;4;5;3;99;2;2;3;8;6;5;13;3;1;NA;NA;NA;NA;NA;NA;NA;2;NA;2;5;1;1;3;2;1;3;5;NA;0,920867
AG1048;25513;2;2;5;6;44;49170;3;2;2;2;2;2;1;NA;2;2;;2;2;2;4;2;2;1;3;2;3;1;99;99;4;4;1;3;NA;NA;3;2;;4;;3;;4;NA;1;2;3;5;3;3;2;3;2;1;1;2;2;1;2;2;4;3;2;2;3;3;3;NA;4;;5;;1;;3;NA;2;3;NA;NA;NA;;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1;5;3;3;3;1;4;5;1;1;99;1;1;1;8;13;6;2;5;7;9;3;10;1;NA;NA;NA;2;NA;1;4;2;4;6;2;NA;NA;NA;NA;0,912329
AG1049;25541;1;3;5;5;58;93120;1;1;9;5;1;2;1;;1;1;;1;2;2;2;2;2;2;1;99;1;1;1;99;2;;2;2;2;;2;5;;4;;2;;5;99;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;3;;;4;;4;;7;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;2;3;3;2;3;4;4;5;99;98;98;1;5;8;3;13;1;2;;;;;;;;2;;2;5;1;4;5;97;;;;;0,999173
AG1050;25568;2;2;5;1;32;59300;4;3;8;4;1;2;1;NA;1;3;;2;2;2;4;3;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;5;;1;;2;;3;NA;1;2;99;2;2;2;3;1;2;1;2;2;2;1;1;2;2;3;2;3;NA;NA;4;NA;4;;1;;5;;3;NA;2;3;NA;NA;NA;;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;1;5;1;4;2;2;3;2;2;2;99;1;1;1;7;5;6;3;2;1;8;13;NA;NA;NA;NA;NA;2;NA;2;3;2;4;6;97;NA;NA;NA;NA;0,862486
AG1051;25578;1;2;4;7;39;80370;6;3;1;1;1;1;1;;1;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;;;;;;5;2;1;1;3;9;2;2;2;2;2;2;2;2;2;2;2;2;1;4;2;2;2;99;4;;1;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;1;4;2;1;3;4;6;4;99;1;1;1;6;12;2;8;13;1;;;;;;;;2;;1;5;4;2;8;4;3;;;;1,106893
AG1052;25593;2;1;4;9;26;54000;5;3;8;4;1;1;1;;1;1;;1;2;2;3;2;2;2;3;99;1;1;1;2;3;;4;3;3;4;2;3;;2;;1;;3;99;1;2;2;4;2;2;3;2;2;2;2;2;2;2;2;2;4;2;3;3;;;3;;6;;5;;3;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;1;3;3;2;2;2;3;2;3;1;1;1;13;10;8;6;7;3;5;1;;;;;;2;;2;1;;1;8;97;;;;;0,925912
AG1053;25593;2;1;4;9;26;54000;5;3;8;4;1;1;1;;1;1;;1;2;2;3;2;2;2;3;99;1;1;1;2;3;;4;3;3;4;2;3;;2;;1;;3;99;1;2;2;4;2;2;3;2;2;2;2;2;2;2;2;2;4;2;3;3;;;3;;6;;5;;3;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;3;1;3;3;2;2;2;3;2;3;1;1;1;13;10;8;6;7;3;5;1;;;;;;2;;2;1;;1;8;97;;;;;0,925912
AG1054;25622;2;4;7;3;77;75011;1;1;9;5;1;3;;;1;1;;1;2;2;3;2;2;2;99;99;2;3;3;3;;;1;2;2;2;2;4;;3;;2;;5;99;99;2;99;2;3;2;3;3;3;4;2;3;4;3;3;3;2;2;2;3;;;4;;9;;7;;8;;4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;1;4;4;2;3;3;1;6;99;2;2;2;13;6;8;3;1;;;;;;;;;2;;1;1;;4;9;97;;;;;1,01043
AG1055;25631;2;2;8;4;39;85320;3;2;1;1;2;3;;2;2;1;;1;1;2;3;3;2;1;2;2;1;2;3;1;2;2;2;2;2;2;2;5;;4;;2;;1;99;1;99;3;5;2;2;2;2;2;2;2;2;2;2;2;2;4;1;2;2;2;2;3;;98;Je viens de changer de e fournisseur d'ÈlectricitÈ il y a 1 mois;;;;;3;1;;1;;1;4;;;;;;;;;;;;;;;;;;;;;;4;1;1;1;1;3;2;1;3;3;7;1;99;1;4;1;3;13;8;7;6;1;;;;;;;;2;;2;3;2;3;4;1;;;;;1,389009
AG1056;25663;1;3;8;8;59;13920;9;5;8;4;3;3;NA;2;1;3;;2;2;2;2;2;2;3;99;99;1;1;99;99;NA;NA;2;2;NA;NA;2;1;;5;;2;;3;NA;2;2;4;6;3;3;4;4;4;2;3;3;4;3;3;2;4;1;3;2;4;2;2;99;NA;;NA;;NA;;2;NA;1;1;2;3;98;augmentation de 50% du tarif;NA;;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;97;2;1;7;1;4;4;1;7;6;6;2;99;6;1;1;9;5;1;13;8;2;6;3;7;11;10;NA;NA;2;NA;1;2;1;4;8;2;1;3;5;4;1,195672
